Latitude,Longitude,2023 Rides,2022 Rides,2021 Rides,2020 Rides,2019 Rides,2018 Rides,2017 Rides,Municipality,Municipality
42.1048° N,70.9453° W,80646,57756,44956,39877,64458,46512,29620,Abington,Abington
42.4851° N,71.4328° W,47260,32240,19100,17037,44884,29906,17645,Acton,Acton
41.6807° N,70.9078° W,7532,5150,3220,2295,3752,1721,673,Acushnet,Acushnet
42.6242° N,73.1173° W,47,89,33,43,137,139,66,Adams,Adams
42.0695° N,72.6143° W,37495,25068,11775,13578,42411,31993,20918,Agawam,Agawam
42.2454° N,73.3962° W,3,1,0,0,3,1,1,Alford,Alford
42.8584° N,70.9300° W,25516,17390,13590,13006,25153,17394,9984,Amesbury,Amesbury
42.3732° N,72.5199° W,178043,149752,57857,89835,342082,338842,284506,Amherst,Amherst
42.6584° N,71.1370° W,172087,121821,77382,60566,152374,116797,85159,Andover,Andover
41.3532° N,70.7992° W,365,389,163,194,633,396,239,Aquinnah,Aquinnah
42.4154° N,71.1565° W,313958,236152,153441,138072,391537,342793,258133,Arlington,Arlington
42.6365° N,71.9098° W,1062,714,261,373,894,696,418,Ashburnham,Ashburnham
42.6784° N,71.8201° W,67,63,74,49,135,43,21,Ashby,Ashby
42.5276° N,72.7873° W,5,2,0,0,3,2,6,Ashfield,Ashfield
42.2615° N,71.4634° W,47872,30847,22641,21899,45415,31637,22053,Ashland,Ashland
42.5951° N,72.2262° W,217,153,73,57,152,121,42,Athol,Athol
41.9445° N,71.2856° W,174747,113321,78772,65838,114997,83287,46212,Attleboro,Attleboro
42.1945° N,71.8356° W,62809,44514,27943,27055,52588,38897,25034,Auburn,Auburn
42.1295° N,71.0364° W,61805,43623,33793,23813,35208,25409,16300,Avon,Avon
42.5612° N,71.5898° W,8875,5731,4178,4735,9982,5848,2149,Ayer,Ayer
41.7003° N,70.3002° W,335367,261563,195121,118954,218073,160010,114383,Barnstable,Barnstable
42.4226° N,72.1051° W,118,72,14,38,58,67,137,Barre,Barre
42.3315° N,73.0937° W,19,12,7,3,51,53,48,Becket,Becket
42.4907° N,71.2765° W,64780,49149,30753,24713,67343,50947,33117,Bedford,Bedford
42.2751° N,72.4101° W,2838,1975,628,1117,4628,4062,2754,Belchertown,Belchertown
42.0868° N,71.4745° W,24209,13916,9519,8859,16671,9797,5011,Bellingham,Bellingham
42.3956° N,71.1787° W,218114,161709,103946,94835,294005,255457,195807,Belmont,Belmont
41.8457° N,71.0845° W,3946,2494,2246,1825,2444,1223,878,Berkley,Berkley
42.3815° N,71.6378° W,6494,4670,3261,3462,6804,5016,3536,Berlin,Berlin
42.6706° N,72.5551° W,37,18,9,11,55,38,21,Bernardston,Bernardston
42.5584° N,70.8800° W,242851,168633,114243,101061,220311,165270,121950,Beverly,Beverly
42.5584° N,71.2689° W,161763,110201,74569,58366,122888,90906,60156,Billerica,Billerica
42.0334° N,71.5411° W,3296,2589,1777,2127,4034,2345,1332,Blackstone,Blackstone
42.1826° N,72.9365° W,29,7,8,15,66,37,26,Blandford,Blandford
42.4334° N,71.6078° W,2805,2063,1193,1173,3240,2143,1375,Bolton,Bolton
42.3601° N,71.0589° W,35558027,28736376,18352862,15923280,45295938,42201375,34911476,Boston,Boston
41.7400° N,70.6189° W,21425,16352,13559,9818,22130,15710,9595,Bourne,Bourne
42.4901° N,71.5165° W,8576,6350,3558,3451,8977,5732,3320,Boxborough,Boxborough
42.6615° N,71.0165° W,6480,4811,3340,2293,5148,3375,2526,Boxford,Boxford
42.3862° N,71.7198° W,8886,6212,3905,3274,5679,4602,2825,Boylston,Boylston
42.2070° N,71.0014° W,497951,380245,269431,223745,502199,417577,301293,Braintree,Braintree
41.7598° N,70.0823° W,15049,13587,8712,4880,15030,12529,9479,Brewster,Brewster
41.9901° N,70.9753° W,77540,48199,34235,26246,51835,34882,20900,Bridgewater,Bridgewater
42.1165° N,72.2078° W,133,140,24,44,257,128,43,Brimfield,Brimfield
42.0834° N,71.0184° W,1509485,1072709,844803,678342,978639,706754,433885,Brockton,Brockton
42.2165° N,72.1001° W,432,118,76,78,260,252,151,Brookfield,Brookfield
42.3318° N,71.1212° W,1602339,1268237,840606,817536,2458715,2347570,2074425,Brookline,Brookline
42.5901° N,72.7834° W,5,1,2,3,7,17,8,Buckland,Buckland
42.5048° N,71.1956° W,340927,248000,148304,120011,312336,240194,167853,Burlington,Burlington
42.3736° N,71.1097° W,5084366,3992586,2360396,2298990,7879235,7827584,6782366,Cambridge,Cambridge
42.1584° N,71.1448° W,168678,113230,76666,57703,119240,94089,63913,Canton,Canton
42.5295° N,71.3498° W,5788,4028,2075,1665,4762,3332,2345,Carlisle,Carlisle
41.8884° N,70.7689° W,7749,5606,4260,3705,5841,2906,1480,Carver,Carver
42.6273° N,72.8695° W,5,2,1,1,6,4,6,Charlemont,Charlemont
42.1334° N,71.9665° W,5813,3059,2213,2666,5381,3675,1927,Charlton,Charlton
41.6823° N,69.9595° W,31296,24729,17429,6598,31537,29309,21991,Chatham,Chatham
42.5998° N,71.3678° W,151655,108141,72291,57580,106969,78025,50358,Chelmsford,Chelmsford
42.3918° N,71.0328° W,890182,692588,492479,450260,967965,848347,656686,Chelsea,Chelsea
42.5612° N,73.1628° W,64,63,26,44,116,98,81,Cheshire,Cheshire
42.2795° N,72.9789° W,1,1,1,1,2,5,0,Chester,Chester
42.3834° N,72.8334° W,3,0,1,3,21,19,19,Chesterfield,Chesterfield
42.1487° N,72.5898° W,175486,112384,61737,79270,169518,127167,70278,Chicopee,Chicopee
41.3434° N,70.7565° W,1485,1573,1055,599,2609,1913,1241,Chilmark,Chilmark
42.7145° N,73.1048° W,4,2,1,2,16,13,8,Clarksburg,Clarksburg
42.4165° N,71.6834° W,13990,9786,6436,6730,11953,7589,4036,Clinton,Clinton
42.2412° N,70.7998° W,12621,8174,5111,4829,13720,8087,4661,Cohasset,Cohasset
42.6715° N,72.7001° W,2,3,0,1,3,3,0,Colrain,Colrain
42.4604° N,71.3489° W,63742,46766,26749,20917,64157,47892,32104,Concord,Concord
42.5095° N,72.6901° W,14,6,2,6,21,88,13,Conway,Conway
42.4601° N,72.9001° W,1,1,0,0,2,2,0,Cummington,Cummington
42.4701° N,73.1634° W,334,349,104,492,1605,1095,486,Dalton,Dalton
